,id,name,url,payments
276,29068,Oenothèque Gérard Bertrand,https://en.gerard-bertrand.com/pages/conditions-generales-dutilisation,"['card_payments', 'legacy_payments', 'platform_payments']"
277,23300,Les Caves de La Tour d'Argent,,[]
278,4134,Monsieur Vin,,[]
279,3358,Maison Denis Perret,,[]
280,29870,Monsieur Lemaire,,[]
281,4608,Dieckmann's Weins,,[]
282,22755,Graves La Vinotheque,,[]
283,22234,Cave de L'Estuaire,,[]
284,341,Planete Bordeaux,,[]
285,26751,LA CAVE DES TUILERIES,,[]
286,22997,Cave Vins sur Vins,,[]
287,4501,Libanus,,[]
288,22255,Boutique Ambre,,[]
289,22745,Le Gourmet du Net,,[]
290,634,Dobre Wino,,[]
291,6217,Sourire des Saveurs,https://souriredessaveurs.com/fr/content/3-conditions-generales-de-ventes ,['legacy_payments']
292,6012,Plugwine Distribution,,"['card_payments', 'platform_payments']"
293,19105,Wine & More Croatia,,[]
294,11488,Nicolas (Reunion),,[]
295,22984,Vins a la cave,,[]
296,3423,Wine Consultant Sarl,,[]
297,28024,La Cave des Potes,,[]
298,30475,Lebendige Weine,,[]
299,743,Confidences des vignobles,http://www.confidences-des-vignobles.fr/conditions-generales-de-ventes-3.html,['legacy_payments']
300,27831,Vins Sur 20,,[]
301,29502,Diamant Rouge,,[]
302,28687,Plaisirs du vin,,[]
303,375,Winestore 24,,[]
304,22723,Ivinio,http://www.ivinio.com/fr/p/conditions-generales-de-vente/,['legacy_payments']
305,11822,Vin & Provence,,[]
306,5822,Amicalement Vin,https://www.amicalementvin.com/Conditions-generales-de-vente,"['cartes_bancaires_payments', 'legacy_payments']"
307,16883,Vinnouveau.fr,,[]
308,22683,Epicave,,[]
309,4455,Vincoeur Catalan,https://www.vincoeurcatalan.com/page/3-conditions-generales-de-ventes,"['card_payments', 'legacy_payments', 'platform_payments']"
310,4248,Wine Private Services,,[]
311,2474,Patrick Jublou & Cie,,[]
312,16541,Bacchus One,,[]
313,3309,1907.fr,,[]
314,26832,Sommelierparticulier,,[]
315,22953,Saveurs de Bourgogne,,[]
316,5224,Die Vinothek,,[]
317,3918,Harald L. Bremer,,[]
318,29182,Ma Bouteille Pas Cher,,[]
319,22719,La Cave d'Amont,,[]
320,3085,Weinhandel Susanne Herold,,[]
321,29129,Vins De Bourgueil,,[]
322,27648,La Cabote,,[]
323,6208,Avenuedesvins.fr,,[]
324,23172,Chateau Paloumey,,[]
325,12242,Maison Brotte,,[]
326,23388,Maison du Vin de Barsac,,[]
327,3024,Vie d'Oc,,"['card_payments', 'platform_payments']"
328,4067,Cave Anthocyanes,,[]
329,22790,La Vignery,,[]
330,17351,Caviste Authentique,,[]
331,3985,Cave Pur Jus,,[]
332,26445,Enoteca Perbacco,,[]
333,22258,Aperichic,,[]
