,id,score_normalized,reviewed_at,vintage_id
166,3504155,99,2019-12-05T00:00:00Z,14769423
167,3504156,96,2019-12-05T00:00:00Z,14769423
168,3504157,91,2019-12-05T00:00:00Z,14769423
169,1775593,91,2014-06-26T00:00:00Z,1436632
170,1952620,94,2013-02-03T00:00:00Z,1436632
171,2528076,94,2017-12-01T00:00:00Z,1421142
172,609958,95,2016-10-28T00:00:00Z,4212927
173,1867742,94,2017-04-28T00:00:00Z,4212927
174,3310822,89,2018-01-01T00:00:00Z,4212927
175,192633,91,2014-08-28T00:00:00Z,2273798
176,1486397,86,2014-08-08T00:00:00Z,2273798
177,1527871,86,2013-07-16T00:00:00Z,2273798
178,2527837,92,2012-12-01T00:00:00Z,2273798
179,2530255,92,2013-12-01T00:00:00Z,2273798
180,3507311,92,2020-06-22T00:00:00Z,156106760
181,3507574,90,2020-07-07T00:00:00Z,156106760
182,3519708,93,2020-08-12T00:00:00Z,156106760
183,3519709,92,2020-08-12T00:00:00Z,156106760
184,1796651,94,2015-10-30T00:00:00Z,3401699
185,2945423,91,2018-04-27T00:00:00Z,150392168
186,3316336,93,2019-01-30T00:00:00Z,150392168
187,3339538,93,2019-03-06T00:00:00Z,150392168
188,3339539,91,2014-01-01T00:00:00Z,150392168
189,3339540,75,2019-03-06T00:00:00Z,150392168
190,3339586,100,2019-03-08T00:00:00Z,150392168
191,3494432,90,2019-05-31T00:00:00Z,150392168
192,1606838,86,2015-07-31T00:00:00Z,2275119
193,3169479,89,2016-04-19T00:00:00Z,2275119
194,1980610,95,2017-08-09T00:00:00Z,2836706
195,3181253,95,2016-05-10T00:00:00Z,2836706
196,2949079,91,2018-04-27T00:00:00Z,15503068
197,3153266,91,2018-10-01T00:00:00Z,15503068
198,1504994,90,2016-06-12T00:00:00Z,2010131
199,1863095,92,2017-05-31T00:00:00Z,2010131
200,3494201,91,2019-05-31T00:00:00Z,96512813
201,3493312,92,2019-05-16T00:00:00Z,150902770
202,3498271,91,2019-09-03T00:00:00Z,85976696
203,3502788,91,2019-09-18T00:00:00Z,85976696
204,608593,96,2016-10-28T00:00:00Z,3012415
205,1383166,91,2017-01-01T00:00:00Z,3012415
206,2754483,92,2017-04-01T00:00:00Z,3012415
207,3310856,91,2018-01-01T00:00:00Z,3012415
208,1866769,94,2017-04-28T00:00:00Z,3953484
209,3226173,94,2018-10-31T00:00:00Z,3953484
210,3223781,90,2018-10-31T00:00:00Z,150581406
211,3499512,89,2019-08-30T00:00:00Z,150581406
212,422389,90,2017-04-28T00:00:00Z,1906084
213,1497167,90,2017-08-10T00:00:00Z,1906084
214,2779732,90,2018-04-01T00:00:00Z,1906084
215,219234,93,2011-05-02T00:00:00Z,1450841
216,1956363,92,2014-03-03T00:00:00Z,1450841
217,2505751,92,2011-06-01T00:00:00Z,1450841
218,2507810,92,2013-03-01T00:00:00Z,1450841
219,3177966,89,2015-04-19T00:00:00Z,1450841
220,218171,94,2014-10-31T00:00:00Z,1661422
221,1954235,94,2014-11-26T00:00:00Z,1661422
222,3223141,89,2018-10-31T00:00:00Z,141511224
223,3495421,96,2019-06-28T00:00:00Z,4381091
